iId,iEffectGroupId,iLevel,sName,iDisPlayMode,sIcon,iLoseType,iType,iIsInBattle,iRespondType,iBoutDuration,iIsLoopRespond,iTimeType,iAidertime,iTimeDuration,sScript,sDescription,sOwnerGetFx,sOwnerGetFxDelay,sOwnerRunFx,sOwnerRunFxDelay,sOwnerLoseFx,sOwnerLoseFxDelay,sOpponentGetFx,sOpponentGetFxDelay,sOpponentRunFx,sOpponentRunFxDelay,sOpponentLoseFx,sOpponentLoseFxDelay,sFullGetFx,sFullGetFxDelay,sFullRunFx,sFullRunFxDelay,sFullLoseFx,sFullLoseFxDelay
30,2,10,每秒6伤害,3,null,1,1,1,4,0,1,4,0,10000,opponent['hp'] -= 6;,每秒伤害+6;,2101,0,-1,-1,-1,-1,-1,-1,2102,2000,-1,-1,-1,-1,-1,-1,-1,-1
41,3,1,攻击力+6,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 6; owner['minAttack'] += 6; ,攻击力: +6;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,3,2,攻击力+8,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 8; owner['minAttack'] += 8; ,攻击力: +8;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,3,3,攻击力+10,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 10; owner['minAttack'] += 10; ,攻击力: +10;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,3,4,攻击力+12,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 12; owner['minAttack'] += 12; ,攻击力: +12;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,3,5,攻击力+14,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 14; owner['minAttack'] += 14; ,攻击力: +14;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,3,6,攻击力+16,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 16; owner['minAttack'] += 16; ,攻击力: +16;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,3,7,攻击力+18,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 18; owner['minAttack'] += 18; ,攻击力: +18;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,3,8,攻击力+20,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 20; owner['minAttack'] += 20; ,攻击力: +20;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,3,9,攻击力+22,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 22; owner['minAttack'] += 22; ,攻击力: +22;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,3,10,攻击力+24,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 24; owner['minAttack'] += 24;,攻击力: +24;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,51,1,攻击速度-8,3,null,1,1,1,1,10,0,2,0,0,opponent['speed'] *= (1/(1-0.08));,攻击速度-8;,2101,0,-1,-1,-1,-1,-1,-1,5101,2000,-1,-1,-1,-1,-1,-1,-1,-1
52,52,2,攻击速度-9,3,null,1,1,1,1,10,0,2,0,0,opponent['speed'] *=(1/(1-0.09));,攻击速度-9;,2101,0,-1,-1,-1,-1,-1,-1,5101,2000,-1,-1,-1,-1,-1,-1,-1,-1
53,53,3,攻击速度-10,3,null,1,1,1,1,10,0,2,0,0,opponent['speed'] *= (1/(1-0.1));,攻击速度-10;,2101,0,-1,-1,-1,-1,-1,-1,5101,2000,-1,-1,-1,-1,-1,-1,-1,-1
54,54,4,攻击速度-11,3,null,1,1,1,1,10,0,2,0,0,opponent['speed'] *= (1/(1-0.11));,攻击速度-11;,2101,0,-1,-1,-1,-1,-1,-1,5101,2000,-1,-1,-1,-1,-1,-1,-1,-1
55,55,5,攻击速度-12,3,null,1,1,1,1,10,0,2,0,0,opponent['speed'] *= (1/(1-0.12));,攻击速度-12;,2101,0,-1,-1,-1,-1,-1,-1,5101,2000,-1,-1,-1,-1,-1,-1,-1,-1
56,56,6,攻击速度-13,3,null,1,1,1,1,10,0,2,0,0,opponent['speed'] *= (1/(1-0.13));,攻击速度-13;,2101,0,-1,-1,-1,-1,-1,-1,5101,2000,-1,-1,-1,-1,-1,-1,-1,-1
57,57,7,攻击速度-14,3,null,1,1,1,1,10,0,2,0,0,opponent['speed'] *= (1/(1-0.14));,攻击速度-14;,2101,0,-1,-1,-1,-1,-1,-1,5101,2000,-1,-1,-1,-1,-1,-1,-1,-1
58,58,8,攻击速度-15,3,null,1,1,1,1,10,0,2,0,0,opponent['speed'] *= (1/(1-0.15));,攻击速度-15;,2101,0,-1,-1,-1,-1,-1,-1,5101,2000,-1,-1,-1,-1,-1,-1,-1,-1
59,59,9,攻击速度-16,3,null,1,1,1,1,10,0,2,0,0,opponent['speed'] *= (1/(1-0.16));,攻击速度-16;,2101,0,-1,-1,-1,-1,-1,-1,5101,2000,-1,-1,-1,-1,-1,-1,-1,-1
60,60,10,攻击速度-17,3,null,1,1,1,1,10,0,2,0,0,opponent['speed'] *= (1/(1-0.17));,攻击速度-17;,2101,0,-1,-1,-1,-1,-1,-1,5101,2000,-1,-1,-1,-1,-1,-1,-1,-1
61,61,1,攻击力+13,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 13; owner['minAttack'] += 13;,攻击力: +13;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,62,2,攻击力+14,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 14; owner['minAttack'] += 14;,攻击力: +14;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,63,3,攻击力+15,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 15; owner['minAttack'] += 15;,攻击力: +15;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,64,4,攻击力+16,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 16; owner['minAttack'] += 16;,攻击力: +16;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,65,5,攻击力+17,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 17; owner['minAttack'] += 17;,攻击力: +17;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
66,66,6,攻击力+18,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 18; owner['minAttack'] += 18;,攻击力: +18;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,67,7,攻击力+19,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 19; owner['minAttack'] += 19;,攻击力: +19;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
68,68,8,攻击力+20,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 20; owner['minAttack'] += 20;,攻击力: +20;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,69,9,攻击力+21,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 21; owner['minAttack'] += 21;,攻击力: +21;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,70,10,攻击力+22,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 22; owner['minAttack'] += 22;,攻击力: +22;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,71,1,内息-1%,3,null,1,2,1,1,10,0,2,0,0,opponent['mp'] -= opponent['maxMp'] * 0.01;,内息-1%;,2101,0,-1,-1,-1,-1,-1,-1,7101,2000,-1,-1,-1,-1,-1,-1,-1,-1
72,71,2,内息-1%,3,null,1,2,1,1,10,0,2,0,0,opponent['mp'] -= opponent['maxMp'] * 0.01;,内息-1%;,2101,0,-1,-1,-1,-1,-1,-1,7101,2000,-1,-1,-1,-1,-1,-1,-1,-1
73,71,3,内息-1%,3,null,1,2,1,1,10,0,2,0,0,opponent['mp'] -= opponent['maxMp'] * 0.01;,内息-1%;,2101,0,-1,-1,-1,-1,-1,-1,7101,2000,-1,-1,-1,-1,-1,-1,-1,-1
74,71,4,内息-1%,3,null,1,2,1,1,10,0,2,0,0,opponent['mp'] -= opponent['maxMp'] * 0.01;,内息-1%;,2101,0,-1,-1,-1,-1,-1,-1,7101,2000,-1,-1,-1,-1,-1,-1,-1,-1
75,71,5,内息-1%,3,null,1,2,1,1,10,0,2,0,0,opponent['mp'] -= opponent['maxMp'] * 0.01;,内息-1%;,2101,0,-1,-1,-1,-1,-1,-1,7101,2000,-1,-1,-1,-1,-1,-1,-1,-1
76,71,6,内息-1%,3,null,1,2,1,1,10,0,2,0,0,opponent['mp'] -= opponent['maxMp'] * 0.01;,内息-1%;,2101,0,-1,-1,-1,-1,-1,-1,7101,2000,-1,-1,-1,-1,-1,-1,-1,-1
77,71,7,内息-1%,3,null,1,2,1,1,10,0,2,0,0,opponent['mp'] -= opponent['maxMp'] * 0.01;,内息-1%;,2101,0,-1,-1,-1,-1,-1,-1,7101,2000,-1,-1,-1,-1,-1,-1,-1,-1
78,71,8,内息-1%,3,null,1,2,1,1,10,0,2,0,0,opponent['mp'] -= opponent['maxMp'] * 0.01;,内息-1%;,2101,0,-1,-1,-1,-1,-1,-1,7101,2000,-1,-1,-1,-1,-1,-1,-1,-1
79,71,9,内息-1%,3,null,1,2,1,1,10,0,2,0,0,opponent['mp'] -= opponent['maxMp'] * 0.01;,内息-1%;,2101,0,-1,-1,-1,-1,-1,-1,7101,2000,-1,-1,-1,-1,-1,-1,-1,-1
80,80,10,内息-1%,3,null,1,2,1,1,10,0,2,0,0,opponent['mp'] -= opponent['maxMp'] * 0.01;,内息-1%;,2101,0,-1,-1,-1,-1,-1,-1,7101,2000,-1,-1,-1,-1,-1,-1,-1,-1
81,81,1,攻击力+32,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 32; owner['minAttack'] += 32;,攻击力+32;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,82,2,攻击力+33,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 33; owner['minAttack'] += 33;,攻击力+33;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,83,3,攻击力+34,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 34; owner['minAttack'] += 34;,攻击力+34;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,84,4,攻击力+35,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 35; owner['minAttack'] += 35;,攻击力+35;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,85,5,攻击力+36,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 36; owner['minAttack'] += 36;,攻击力+36;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,86,6,攻击力+37,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 37; owner['minAttack'] += 37;,攻击力+37;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,87,7,攻击力+38,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 38; owner['minAttack'] += 38;,攻击力+38;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,88,8,攻击力+39,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 39; owner['minAttack'] += 39;,攻击力+39;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,89,9,攻击力+40,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 40; owner['minAttack'] += 40;,攻击力+40;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,90,10,攻击力+41,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] += 41; owner['minAttack'] += 41;,攻击力+41;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,91,1,躲闪力-6%,3,null,1,1,1,1,10,0,2,0,0,opponent['dodgeRate'] -= 6;,躲闪力-6%;,2101,0,-1,-1,-1,-1,-1,-1,9101,2000,-1,-1,-1,-1,-1,-1,-1,-1
92,92,2,躲闪力-7%,3,null,1,1,1,1,10,0,2,0,0,opponent['dodgeRate'] -= 7;,躲闪力-7%;,2101,0,-1,-1,-1,-1,-1,-1,9101,2000,-1,-1,-1,-1,-1,-1,-1,-1
93,93,3,躲闪力-8%,3,null,1,1,1,1,10,0,2,0,0,opponent['dodgeRate'] -= 8;,躲闪力-8%;,2101,0,-1,-1,-1,-1,-1,-1,9101,2000,-1,-1,-1,-1,-1,-1,-1,-1
94,94,4,躲闪力-9%,3,null,1,1,1,1,10,0,2,0,0,opponent['dodgeRate'] -= 9;,躲闪力-9%;,2101,0,-1,-1,-1,-1,-1,-1,9101,2000,-1,-1,-1,-1,-1,-1,-1,-1
95,95,5,躲闪力-10%,3,null,1,1,1,1,10,0,2,0,0,opponent['dodgeRate'] -= 10;,躲闪力-10%;,2101,0,-1,-1,-1,-1,-1,-1,9101,2000,-1,-1,-1,-1,-1,-1,-1,-1
96,96,6,躲闪力-11%,3,null,1,1,1,1,10,0,2,0,0,opponent['dodgeRate'] -= 11;,躲闪力-11%;,2101,0,-1,-1,-1,-1,-1,-1,9101,2000,-1,-1,-1,-1,-1,-1,-1,-1
97,97,7,躲闪力-12%,3,null,1,1,1,1,10,0,2,0,0,opponent['dodgeRate'] -= 12;,躲闪力-12%;,2101,0,-1,-1,-1,-1,-1,-1,9101,2000,-1,-1,-1,-1,-1,-1,-1,-1
98,98,8,躲闪力-13%,3,null,1,1,1,1,10,0,2,0,0,opponent['dodgeRate'] -= 13;,躲闪力-13%;,2101,0,-1,-1,-1,-1,-1,-1,9101,2000,-1,-1,-1,-1,-1,-1,-1,-1
99,99,9,躲闪力-14%,3,null,1,1,1,1,10,0,2,0,0,opponent['dodgeRate'] -= 14;,躲闪力-14%;,2101,0,-1,-1,-1,-1,-1,-1,9101,2000,-1,-1,-1,-1,-1,-1,-1,-1
100,100,10,躲闪力-15%,3,null,1,1,1,1,10,0,2,0,0,opponent['dodgeRate'] -= 15;,躲闪力-15%;,2101,0,-1,-1,-1,-1,-1,-1,9101,2000,-1,-1,-1,-1,-1,-1,-1,-1
101,101,1,攻击力+26%,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] *= 1+0.26; owner['minAttack'] += 1+0.26;,攻击力+26%;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,102,2,攻击力+26.5%,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] *= 1+0.265; owner['minAttack'] += 1+0.265;,攻击力+26.5%;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,103,3,攻击力+27%,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] *= 1+0.27; owner['minAttack'] += 1+0.27;,攻击力+27%;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,104,4,攻击力+27.5%,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] *= 1+0.275; owner['minAttack'] += 1+0.275;,攻击力+27.5%;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,105,5,攻击力+28%,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] *= 1+0.28; owner['minAttack'] += 1+0.28;,攻击力+28%;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,106,6,攻击力+28.5%,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] *= 1+0.285; owner['minAttack'] += 1+0.285;,攻击力+28.5%;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,107,7,攻击力+29%,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] *= 1+0.29; owner['minAttack'] += 1+0.29;,攻击力+29%;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,108,8,攻击力+30%,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] *= 1+0.30; owner['minAttack'] += 1+0.30;,攻击力+30%;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,109,9,攻击力+31%,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] *= 1+0.31; owner['minAttack'] += 1+0.31;,攻击力+31%;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,110,10,攻击力+32%,3,null,64,1,1,1,10,0,0,0,0,owner['maxAttack'] *= 1+0.32; owner['minAttack'] += 1+0.32;,攻击力+32%;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,111,1,防御力-22%,3,null,64,1,1,1,10,0,0,0,0,opponent['defense'] *= 1-0.22;,防御力-22%;,2101,0,-1,-1,-1,-1,-1,-1,11101,2000,-1,-1,-1,-1,-1,-1,-1,-1
112,112,2,防御力-23%,3,null,64,1,1,1,10,0,0,0,0,opponent['defense'] *= 1-0.23;,防御力-23%;,2101,0,-1,-1,-1,-1,-1,-1,11101,2000,-1,-1,-1,-1,-1,-1,-1,-1
113,113,3,防御力-24%,3,null,64,1,1,1,10,0,0,0,0,opponent['defense'] *= 1-0.24;,防御力-24%;,2101,0,-1,-1,-1,-1,-1,-1,11101,2000,-1,-1,-1,-1,-1,-1,-1,-1
114,114,4,防御力-25%,3,null,64,1,1,1,10,0,0,0,0,opponent['defense'] *= 1-0.25;,防御力-25%;,2101,0,-1,-1,-1,-1,-1,-1,11101,2000,-1,-1,-1,-1,-1,-1,-1,-1
115,115,5,防御力-26%,3,null,64,1,1,1,10,0,0,0,0,opponent['defense'] *= 1-0.26;,防御力-26%;,2101,0,-1,-1,-1,-1,-1,-1,11101,2000,-1,-1,-1,-1,-1,-1,-1,-1
116,116,6,防御力-27%,3,null,64,1,1,1,10,0,0,0,0,opponent['defense'] *= 1-0.27;,防御力-27%;,2101,0,-1,-1,-1,-1,-1,-1,11101,2000,-1,-1,-1,-1,-1,-1,-1,-1
117,117,7,防御力-28%,3,null,64,1,1,1,10,0,0,0,0,opponent['defense'] *= 1-0.28;,防御力-28%;,2101,0,-1,-1,-1,-1,-1,-1,11101,2000,-1,-1,-1,-1,-1,-1,-1,-1
118,118,8,防御力-30%,3,null,64,1,1,1,10,0,0,0,0,opponent['defense'] *= 1-0.30;,防御力-30%;,2101,0,-1,-1,-1,-1,-1,-1,11101,2000,-1,-1,-1,-1,-1,-1,-1,-1
119,119,9,防御力-31%,3,null,64,1,1,1,10,0,0,0,0,opponent['defense'] *= 1-0.31;,防御力-31%;,2101,0,-1,-1,-1,-1,-1,-1,11101,2000,-1,-1,-1,-1,-1,-1,-1,-1
120,120,10,防御力-32%,3,null,64,1,1,1,10,0,0,0,0,opponent['defense'] *= 1-0.32;,防御力-32%;,2101,0,-1,-1,-1,-1,-1,-1,11101,2000,-1,-1,-1,-1,-1,-1,-1,-1
121,121,1,每秒伤害+1.5,3,null,1,2,1,5,0,1,2,0,10000,opponent['hp'] -= 1.5;,每秒伤害+1.5;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
122,121,2,每秒伤害+2,3,null,1,2,1,5,0,1,2,0,10000,opponent['hp'] -= 2;,每秒伤害+2;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,121,3,每秒伤害+2.5,3,null,1,2,1,5,0,1,2,0,10000,opponent['hp'] -= 2.5;,每秒伤害+2.5;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,121,4,每秒伤害+3,3,null,1,2,1,5,0,1,2,0,10000,opponent['hp'] -= 3;,每秒伤害+3;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,121,5,每秒伤害+3.5,3,null,1,2,1,5,0,1,2,0,10000,opponent['hp'] -= 3.5;,每秒伤害+3.5;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
126,121,6,每秒伤害+4,3,null,1,2,1,5,0,1,2,0,10000,opponent['hp'] -= 4;,每秒伤害+4;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
127,121,7,每秒伤害+4.5,3,null,1,2,1,5,0,1,2,0,10000,opponent['hp'] -= 4.5;,每秒伤害+4.5;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,121,8,每秒伤害+5,3,null,1,2,1,5,0,1,2,0,10000,opponent['hp'] -= 5;,每秒伤害+5;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129,121,9,每秒伤害+5.5,3,null,1,2,1,5,0,1,2,0,10000,opponent['hp'] -= 5.5;,每秒伤害+5.5;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
