iId ,iPrimaryItemId,iPrimaryItemRate,sPrimaryItemAttributeID,iPrimaryItemAttributeLowerBound,iPrimaryItemAttributeUpperBound,iPrimaryItemAttributeRate,iSecondaryItemRate,sSecondaryItemAttributeID,iSecondaryItemAttributeLowerBound,iSecondaryItemAttributeUpperBound,iSecondaryItemQualityLevelLowerBound,iSecondaryItemQualityLevelUpperBound,iSecondaryItemTypeFilter
11010,1,0,0,1,0,-1,0,0,1,0,0,0,0
11012,1,0,0,1,0,-1,0,0,1,0,0,0,0
12003,1,0,0,1,0,-1,0,0,1,0,0,0,0
12006,1,0,0,1,0,-1,0,0,1,0,0,0,0
12007,1,0,0,1,0,-1,0,0,1,0,0,0,0
12008,1,0,0,1,0,-1,0,0,1,0,0,0,0
12010,1,0,0,1,0,-1,0,0,1,0,0,0,0
12012,1,0,0,1,0,-1,0,0,1,0,0,0,0
13003,1,0,0,1,0,-1,0,0,1,0,0,0,0
13006,1,0,0,1,0,-1,0,0,1,0,0,0,0
13007,1,0,0,1,0,-1,0,0,1,0,0,0,0
13008,1,0,0,1,0,-1,0,0,1,0,0,0,0
13010,1,0,0,1,0,-1,0,0,1,0,0,0,0
13012,1,0,0,1,0,-1,0,0,1,0,0,0,0
22001,1,0,0,1,1,-1,100000,0;0;25000,1,100,1,6,0
22002,1,0,0,1,1,-1,100000,0;0;25000,1,100,1,6,0
22003,1,0,0,1,1,-1,100000,0;0;25000,1,100,1,6,0
22101,1,0,0,1,1,-1,100000,10000;25000;40000,1,140,2,9,0
22102,1,0,0,1,1,-1,100000,10000;25000;40000,1,140,2,9,0
22103,1,0,0,1,1,-1,100000,10000;25000;40000,1,140,2,9,0
22201,1,0,0,1,1,-1,100000,10000;25000;45000,1,190,3,12,0
22202,1,0,0,1,1,-1,100000,10000;25000;45000,1,190,3,12,0
22203,1,0,0,1,1,-1,100000,10000;25000;45000,1,190,3,12,0
22301,1,0,0,1,1,-1,100000,15000;25000;45000,1,223,4,17,0
22302,1,0,0,1,1,-1,100000,15000;25000;45000,1,223,4,17,0
22303,1,0,0,1,1,-1,100000,15000;25000;45000,1,223,4,17,0
91501,1,0,0,1,0,-1,0,0,1,0,0,0,0
91502,1,0,0,1,0,-1,0,0,1,0,0,0,0
91503,1,0,0,1,0,-1,0,0,1,0,0,0,0
92001,1,0,0,1,0,-1,0,0,1,0,0,0,0
92002,1,0,0,1,0,-1,0,0,1,0,0,0,0
92003,1,0,0,1,0,-1,0,0,1,0,0,0,0
92501,1,0,0,1,0,-1,0,0,1,0,0,0,0
92502,1,0,0,1,0,-1,0,0,1,0,0,0,0
92503,1,0,0,1,0,-1,0,0,1,0,0,0,0
93001,1,0,0,1,0,-1,0,0,1,0,0,0,0
93002,1,0,0,1,0,-1,0,0,1,0,0,0,0
93003,1,0,0,1,0,-1,0,0,1,0,0,0,0
93501,1,0,0,1,0,-1,0,0,1,0,0,0,0
93502,1,0,0,1,0,-1,0,0,1,0,0,0,0
93503,1,0,0,1,0,-1,0,0,1,0,0,0,0
94001,1,0,0,1,0,-1,0,0,1,0,0,0,0
94002,1,0,0,1,0,-1,0,0,1,0,0,0,0
94003,1,0,0,1,0,-1,0,0,1,0,0,0,0
94501,1,0,0,1,0,-1,0,0,1,0,0,0,0
94502,1,0,0,1,0,-1,0,0,1,0,0,0,0
94503,1,0,0,1,0,-1,0,0,1,0,0,0,0
95001,1,0,0,1,0,-1,0,0,1,0,0,0,0
95002,1,0,0,1,0,-1,0,0,1,0,0,0,0
95003,1,0,0,1,0,-1,0,0,1,0,0,0,0
95501,1,0,0,1,0,-1,0,0,1,0,0,0,0
95502,1,0,0,1,0,-1,0,0,1,0,0,0,0
95503,1,0,0,1,0,-1,0,0,1,0,0,0,0
110201,1,100000,0,1,0,-1,0,0,1,0,0,0,0
310031,1,0,0,1,0,-1,100000,0;10000;100000,15,60,2,6,15300000
310032,1,0,0,1,0,-1,100000,0;10000;100000,15,60,2,6,15300000
310033,1,0,0,1,0,-1,100000,0;10000;100000,15,60,2,6,15300000
320031,1,0,0,1,0,-1,100000,10000;25000;100000,40,100,3,10,15300000
320032,1,0,0,1,0,-1,100000,10000;25000;100000,40,100,3,10,15300000
320033,1,0,0,1,0,-1,100000,10000;25000;100000,40,100,3,10,15300000
330031,1,0,0,1,0,-1,100000,10000;25000;100000,60,130,6,13,15300000
330032,1,0,0,1,0,-1,100000,10000;25000;100000,60,130,6,13,15300000
330033,1,0,0,1,0,-1,100000,10000;25000;100000,60,130,6,13,15300000
340031,1,0,0,1,0,-1,100000,10000;25000;100000,70,160,8,16,15300000
340032,1,0,0,1,0,-1,100000,10000;25000;100000,70,160,8,16,15300000
340033,1,0,0,1,0,-1,100000,10000;25000;100000,70,160,8,16,15300000
350031,1,0,0,1,0,-1,100000,10000;25000;100000,80,200,8,20,15300000
350032,1,0,0,1,0,-1,100000,10000;25000;100000,80,200,8,20,15300000
350033,1,0,0,1,0,-1,100000,10000;25000;100000,80,200,8,20,15300000
360031,1,0,0,1,0,-1,100000,10000;25000;100000,80,230,10,23,15300000
360032,1,0,0,1,0,-1,100000,10000;25000;100000,80,230,10,23,15300000
360033,1,0,0,1,0,-1,100000,10000;25000;100000,80,230,10,23,15300000
915101,55,100000,202;3;702,1,0,-1,0,0,1,0,0,0,15300000
915102,105,100000,202;3;702,1,0,-1,0,0,1,0,0,0,15300000
915103,5,100000,202;3;702,1,0,-1,0,0,1,0,0,0,15300000
920101,56,100000,203;4;703,1,0,-1,0,0,1,0,0,0,15300000
920102,106,100000,203;4;703,1,0,-1,0,0,1,0,0,0,15300000
920103,6,100000,203;4;703,1,0,-1,0,0,1,0,0,0,15300000
925101,57,100000,204;4;704,1,0,-1,0,0,1,0,0,0,15300000
925102,107,100000,204;4;704,1,0,-1,0,0,1,0,0,0,15300000
925103,7,100000,204;4;704,1,0,-1,0,0,1,0,0,0,15300000
930001,58,100000,204;5;705,1,0,-1,0,0,1,0,0,0,15300000
930002,108,100000,204;5;705,1,0,-1,0,0,1,0,0,0,15300000
930003,8,100000,204;5;705,1,0,-1,0,0,1,0,0,0,15300000
935001,60,100000,204;6;705,1,0,-1,0,0,1,0,0,0,15300000
935002,110,100000,204;6;705,1,0,-1,0,0,1,0,0,0,15300000
935003,10,100000,204;6;705,1,0,-1,0,0,1,0,0,0,15300000
940001,61,100000,205;6;705,1,0,-1,0,0,1,0,0,0,15300000
940002,111,100000,205;6;705,1,0,-1,0,0,1,0,0,0,15300000
940003,11,100000,205;6;705,1,0,-1,0,0,1,0,0,0,15300000
945001,63,100000,205;6;706,1,0,-1,0,0,1,0,0,0,15300000
945002,113,100000,205;6;706,1,0,-1,0,0,1,0,0,0,15300000
945003,13,100000,205;6;706,1,0,-1,0,0,1,0,0,0,15300000
950001,64,100000,205;7;706,1,0,-1,0,0,1,0,0,0,15300000
950002,114,100000,205;7;706,1,0,-1,0,0,1,0,0,0,15300000
950003,14,100000,205;7;706,1,0,-1,0,0,1,0,0,0,15300000
955001,66,100000,206;7;706,1,0,-1,0,0,1,0,0,0,15300000
955002,116,100000,206;7;706,1,0,-1,0,0,1,0,0,0,15300000
955003,16,100000,206;7;706,1,0,-1,0,0,1,0,0,0,15300000
960001,67,100000,206;7;707,1,0,-1,0,0,1,0,0,0,15300000
960002,117,100000,206;7;707,1,0,-1,0,0,1,0,0,0,15300000
960003,17,100000,206;7;707,1,0,-1,0,0,1,0,0,0,15300000
